Company,TypeName,Ram,Weight,TouchScreen,IPS,PPI,HDD,SSD,Price
Asus,Notebook,4,2.0,0,0,100.4546699,1000,0,14651.4672
Dell,Notebook,8,2.0,0,0,141.2119981,0,256,60885.72
Dell,Notebook,4,2.2,0,0,100.4546699,500,0,14646.672
Lenovo,Notebook,12,2.2,0,0,141.2119981,2000,0,47898.72
HP,Notebook,8,2.1,0,1,141.2119981,1000,0,38148.48
Lenovo,2 in 1 Convertible,16,1.4,1,1,316.9650604,0,512,111834.72
Dell,Ultrabook,8,1.2,0,0,165.6321181,0,256,84129.12
Lenovo,Gaming,16,2.4,0,1,141.2119981,2000,256,60153.12
HP,Notebook,2,1.44,0,0,111.9352036,0,0,14865.12
Dell,Ultrabook,16,1.88,0,0,141.2119981,0,768,85672.1088
Asus,2 in 1 Convertible,4,1.5,1,0,135.0942112,0,0,19980.0
Dell,Ultrabook,8,1.9,0,0,141.2119981,1000,0,35324.64
Dell,Notebook,16,2.06,1,0,282.4239962,0,512,108020.9376
HP,Notebook,8,1.84,0,0,141.2119981,0,256,69477.12
MSI,Gaming,8,2.7,0,0,127.3356746,1000,128,75071.52
HP,Workstation,8,2.6,0,0,141.2119981,0,256,92615.0256
Toshiba,Notebook,16,2.4,0,1,141.2119981,0,512,74751.84
Dell,Notebook,8,2.02,0,0,141.2119981,2000,128,51729.552
Lenovo,Notebook,4,2.2,0,0,100.4546699,1000,0,17155.6272
Dell,Gaming,8,2.65,0,0,141.2119981,1000,0,53226.72
Dell,Notebook,8,2.36,1,0,100.4546699,2000,0,29696.6736
Dell,Notebook,8,1.36,0,0,157.3505121,0,256,76030.56
HP,Notebook,4,1.86,0,0,100.4546699,500,0,23389.92
Asus,Notebook,8,2.0,0,0,157.3505121,0,256,50349.6
Lenovo,Notebook,6,2.8,0,0,106.1130621,1000,128,38308.32
HP,Notebook,8,1.86,0,0,141.2119981,1000,0,34045.92
Lenovo,Notebook,8,2.2,0,0,100.4546699,0,256,26586.72
HP,Notebook,8,2.04,0,0,100.4546699,2000,0,20725.92
Dell,Notebook,8,2.8,0,0,127.3356746,1000,128,57808.8
Lenovo,Gaming,8,2.4,0,1,141.2119981,1000,128,43103.52
Dell,Notebook,8,2.33,0,0,141.2119981,0,256,47898.72
HP,Ultrabook,8,1.36,0,1,157.3505121,0,256,93240.0
Asus,2 in 1 Convertible,12,2.26,1,0,141.2119981,2000,512,58554.72
Acer,Notebook,4,2.1,0,0,100.4546699,0,128,22697.28
Asus,Gaming,16,3.25,0,1,127.3356746,1000,256,117162.72
Lenovo,Notebook,4,2.6,0,0,106.1130621,0,128,26053.92
Dell,2 in 1 Convertible,8,1.62,1,0,165.6321181,0,256,46300.8528
HP,Notebook,4,1.91,0,0,141.2119981,0,256,26053.3872
Lenovo,Netbook,4,1.59,0,1,135.0942112,0,128,29463.84
Dell,Notebook,4,1.8,0,0,100.4546699,500,0,16463.52
Asus,Notebook,4,1.5,0,0,111.9352036,0,0,15238.08
Acer,Notebook,8,2.4,0,0,141.2119981,1000,0,45074.88
HP,Gaming,8,3.35,0,1,127.3356746,1000,128,63456.48
Lenovo,Notebook,4,1.85,0,0,141.2119981,0,128,21498.48
Asus,Gaming,8,2.3,0,1,141.2119981,1000,128,88178.4
Lenovo,Notebook,8,1.5,0,1,157.3505121,0,256,58554.72
Asus,Ultrabook,16,1.1,1,0,165.6321181,0,512,93181.392
Lenovo,Ultrabook,8,1.13,0,1,209.8006829,0,512,121584.96
